,Unnamed: 0,contract_item_cancellation_status_code,contract_item_customer_contract_life_cycle_status_code,contract_item_description,contract_item_internal_id,contract_item_product_category,contract_item_product_description,contract_item_support_end_date,contract_item_support_start_date,contract_item_validity_status_code,contract_item_concurrent_sessions,description,end_date_time,start_date_time,item_count,item_list_cancellation_status_code,item_list_customer_contract_life_cycle_status_code,item_list_validity_status_code,contract_label,customer_earliest_start,customer_latest_end,customer_label,sla,product_category,service_level_regex,otrs_version,system_type,feature_add_ons,cancellation_date,customer_country,concat_volume,concat_currency,cancellation_date_orca,end_customer_id,contract_item_logical_error,item_list_logical_error,customer_logical_error,date_logical_error,logical_error,churn
144,144,Canceled,Completed,OTRS GOLD,10,Contracts Managed OTRS,OTRS GOLD,2023-05-31 22:00:00,2022-05-31 22:00:00,Expired,50.0,OTRS GOLD,2023-05-31 22:00:00,2019-05-31 22:00:00,1,Canceled,Completed,Expired,cancelled,2019-05-06 00:00:00,2023-05-31 23:59:00,cancelled,GOLD,SaaS,Gold,7.0.43,managed,"['OTRSSystemConfigurationHistory', 'SaaSUX3Base', 'SaaSPortalConnector', 'OTRSCalendarResourcePlanning', 'OTRSDynamicFieldDatabase', 'OTRSServiceBasedQueueRouting', 'ITSMCore', 'ITSMIncidentProblemManagement', 'ITSMConfigurationManagement', 'ITSMServiceLevelManagement', 'ImportExport', 'GeneralCatalog', 'ITSMChangeManagement', 'OTRSHideShowDynamicFields']",,UNITED STATES OF AMERICA,12995.0,USD,2023-02-23 15:12:00,Bpoxo6M4,False,False,False,False,False,1
145,145,Canceled,Completed,OTRS On-Premise GOLD,10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,2023-05-31 22:00:00,2022-05-31 22:00:00,Active,50.0,OTRS On-Premise GOLD,2023-05-31 22:00:00,2021-05-31 22:00:00,1,Canceled,Completed,Active,cancelled,2015-11-01 00:00:00,2023-05-31 22:00:00,cancelled,GOLD,On-Premise,Gold,7.0.27,auto,"['OTRSSystemConfigurationHistory', 'OTRSReady2AdoptProcesses', 'OTRSEscalationSuspend', 'OTRSDynamicFieldWebService', 'OTRSDynamicFieldDatabase', 'ImportExport', 'ITSMCore', 'ITSMConfigurationManagement', 'OTRSTicketQueueSelection', 'GeneralCatalog', 'OTRSCalendarResourcePlanning', 'OTRSMasterSlave']",2023-01-10 09:32:00,SWITZERLAND,8995.0,EUR,2023-01-10 09:32:00,SOD0Qzuk,True,True,False,False,True,1
146,146,Canceled,Completed,OTRS GOLD,10,Contracts Managed OTRS,OTRS GOLD,2023-05-31 22:00:00,2022-05-31 22:00:00,Expired,25.0,OTRS GOLD,2023-05-31 22:00:00,2021-05-31 22:00:00,1,Canceled,Completed,Expired,cancelled,2021-05-31 22:00:00,2023-05-31 23:59:00,cancelled,GOLD,SaaS,Gold,8.0.33,managed,"['SaaSUX3Base', 'SaaSPortalConnector', 'OTRSCalendarResourcePlanning', 'OTRSDynamicFieldDatabase', 'OTRSAutomation', 'OTRSServiceManagement', 'OTRSSystemConfigurationHistory', 'OTRSConfigurationManagement']",2023-02-16 15:15:00,UNITED STATES OF AMERICA,9995.0,USD,2023-02-16 15:15:00,rpN01RPb,False,False,False,False,False,1
147,147,Canceled,Completed,OTRS On-Premise SILVER,10,Contracts On-Premise OTRS,OTRS On-Premise SILVER,2023-06-10 22:00:00,2022-06-10 22:00:00,Active,10.0,OTRS On-Premise SILVER,2023-06-10 22:00:00,2019-06-10 22:00:00,1,Canceled,Completed,Active,cancelled,2019-06-10 22:00:00,2023-06-10 23:59:00,cancelled,SILVER,On-Premise,Silver,8.0.13,auto,['OTRSSystemConfigurationHistory'],2023-04-13 16:45:00,GERMANY,5994.0,EUR,2023-04-13 16:45:00,0SGMIkqx,True,True,False,False,True,1
148,148,Canceled,Completed,OTRS On-Premise SILVER,20,Contracts On-Premise OTRS,OTRS On-Premise SILVER,2023-06-10 22:00:00,2023-03-10 23:00:00,Active,10.0,OTRS On-Premise SILVER,2023-06-10 22:00:00,2021-06-10 22:00:00,2,Partially Canceled,Completed,Active,cancelled,2020-06-11 00:00:00,2023-06-10 23:59:00,cancelled,SILVER,On-Premise,Silver,7.0.18,auto,"['GeneralCatalog', 'ImportExport', 'ITSMConfigurationManagement', 'ITSMCore', 'ITSMIncidentProblemManagement', 'ITSMServiceLevelManagement', 'OTRSCalendarResourcePlanning', 'OTRSCICustomSearch', 'OTRSCIReferences', 'OTRSDynamicFieldCI', 'OTRSDynamicFieldDatabase', 'OTRSReady2AdoptITSMProcesses', 'OTRSServiceCategories', 'OTRSSystemConfigurationHistory', 'Survey']",,PANAMA,5996.0,USD,,wsLefBXL,True,True,False,False,True,1
149,149,Canceled,Completed,OTRS SILVER,10,Contracts Managed OTRS,OTRS SILVER,2023-06-14 22:00:00,2022-06-14 22:00:00,Expired,10.0,OTRS SILVER,2023-06-14 22:00:00,2022-06-14 22:00:00,1,Canceled,Completed,Expired,cancelled,2016-05-16 00:00:00,2024-06-14 22:00:00,active,SILVER,SaaS,Silver,8.0.35,managed,"['OTRSDynamicFieldDatabase', 'OTRSAutomation', 'OTRSDynamicFieldCI', 'OTRSCIReferences', 'OTRSHideShowDynamicFields', 'OTRSSystemConfigurationHistory', 'OTRSCalendarResourcePlanning', 'OTRSConfigurationManagement', 'OTRSEscalationSuspend', 'OTRSServiceManagement', 'OTRSTicketWatchlist', 'SaaSUX3Base', 'SaaSPortalConnector']",2022-07-11 15:42:00,GERMANY,2495.0,EUR,,j4dAkwVC,False,False,True,False,True,1
150,150,Canceled,Completed,OTRS On-Premise GOLD,10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,2023-06-18 22:00:00,2022-06-18 22:00:00,Expired,50.0,OTRS On-Premise GOLD,2023-06-18 22:00:00,2020-06-18 22:00:00,1,Canceled,Completed,Expired,cancelled,2017-06-19 00:00:00,2023-06-18 23:59:00,cancelled,GOLD,On-Premise,Gold,6.0.26,auto,"['ITSMIncidentProblemManagement', 'OTRSBusiness', 'ITSMServiceLevelManagement', 'ITSMCore', 'GeneralCatalog', 'ITSMChangeManagement', 'ImportExport', 'ITSMConfigurationManagement', 'Survey', 'OTRSTicketInvoker', 'OTRSTicketForms', 'OTRSStatePreselectionResponseTemplates', 'OTRSServiceResponsible', 'OTRSServiceBasedQueueRouting', 'OTRSITSMConfigurationManagementConnector', 'OTRSEscalationSuspend', 'OTRSCustomerFrontendLinkObject', 'OTRSCustomContactFields', 'OTRSAdjustSortTicketOverview', 'FAQ', 'SystemMonitoring', 'OTRSMasterSlave', 'ImportExportDynamicFields']",2022-12-08 12:29:00,GERMANY,82512.0,EUR,,QppGtyHD,False,False,False,False,False,1
151,151,Canceled,Completed,OTRS On-Premise PLATINUM,10,Contracts On-Premise OTRS,OTRS On-Premise PLATINUM,2023-06-18 22:00:00,2022-06-18 22:00:00,Expired,200.0,OTRS On-Premise PLATINUM,2023-06-18 22:00:00,2020-06-18 22:00:00,1,Canceled,Completed,Expired,cancelled,2017-06-19 00:00:00,2023-06-18 23:59:00,cancelled,PLATINUM,On-Premise,Platinum,6.0.26,auto,"['Survey', 'OTRSTicketInvoker', 'OTRSTicketForms', 'OTRSStatePreselectionResponseTemplates', 'OTRSServiceResponsible', 'OTRSServiceCategories', 'OTRSMasterSlave', 'OTRSITSMConfigurationManagementConnector', 'OTRSEscalationSuspend', 'OTRSCustomerFrontendLinkObject', 'OTRSBusiness', 'OTRSAdjustSortTicketOverview', 'ITSMServiceLevelManagement', 'ITSMIncidentProblemManagement', 'ITSMCore', 'ITSMConfigurationManagement', 'ImportExport', 'GeneralCatalog', 'FAQ', 'OTRSCustomContactFields', 'SystemMonitoring']",2022-12-08 12:29:00,GERMANY,230352.0,EUR,,QppGtyHD,False,False,False,False,False,1
152,152,Canceled,Completed,OTRS On-Premise GOLD,10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,2023-06-24 22:00:00,2022-06-24 22:00:00,Active,50.0,OTRS On-Premise GOLD,2023-06-24 22:00:00,2019-06-24 22:00:00,1,Canceled,Completed,Active,cancelled,2017-10-25 00:00:00,2023-06-24 23:59:00,cancelled,GOLD,On-Premise,Gold,7.0.13,auto,"['OTRSSystemConfigurationHistory', 'OTRSQueueResponsible', 'OTRSDynamicFieldWebService', 'OTRSDynamicFieldDatabase', 'OTRSDynamicFieldCI', 'OTRSCICustomSearch', 'GeneralCatalog', 'ImportExport', 'ITSMConfigurationManagement', 'ITSMCore', 'OTRSCalendarResourcePlanning', 'OTRSCIAssignmentAttributeDynamicFieldMap', 'OTRSCIReferences', 'OTRSHideShowDynamicFields', 'OTRSMasterSlave', 'OTRSServiceBasedQueueRouting', 'SystemMonitoring']",2023-06-21 10:05:00,GERMANY,9995.0,EUR,2023-04-18 14:19:00,epccsqiW,True,True,False,False,True,1
153,153,Canceled,Completed,OTRS On-Premise SILVER,10,Contracts On-Premise OTRS,OTRS On-Premise SILVER,2023-06-24 22:00:00,2022-06-24 22:00:00,Active,10.0,OTRS On-Premise SILVER,2023-06-24 22:00:00,2019-06-24 22:00:00,1,Canceled,Completed,Active,cancelled,2017-10-25 00:00:00,2023-06-24 23:59:00,cancelled,SILVER,On-Premise,Silver,7.0.8,auto,"['OTRSHideShowDynamicFields', 'OTRSQueueResponsible', 'OTRSServiceBasedQueueRouting', 'OTRSCIReferences', 'OTRSMasterSlave', 'OTRSDynamicFieldWebService', 'OTRSDynamicFieldDatabase', 'OTRSDynamicFieldCI', 'OTRSCICustomSearch', 'OTRSSystemConfigurationHistory', 'OTRSCalendarResourcePlanning', 'ITSMCore', 'ITSMConfigurationManagement', 'ImportExport', 'GeneralCatalog', 'OTRSCIAssignmentAttributeDynamicFieldMap', 'SystemMonitoring']",2023-06-21 10:05:00,GERMANY,3995.0,EUR,2023-04-18 14:19:00,epccsqiW,True,True,False,False,True,1
